source_center,destination_center,median_delay,trip_count,median_actual_time,median_osrm_time,median_distance
IND110037AAM,IND125001AAA,1.75,7,149.0,86.0,88.94000828385902
IND110037AAM,IND131028AAB,2.3863636363636367,4,63.0,35.0,23.27916150394865
IND110037AAM,IND201001AAC,1.4375,29,57.0,36.0,27.056065799607357
IND110037AAM,IND201007AAA,2.116883116883117,18,57.5,29.5,19.357017202390374
IND110037AAM,IND201301AAD,2.833333333333333,9,67.0,26.0,18.291030638423933
IND110037AAM,IND201301AAF,1.9090909090909087,15,53.0,27.0,18.306611466132964
IND110037AAM,IND202001AAB,1.52,152,132.0,92.5,88.16941959481869
IND110037AAM,IND209304AAA,1.6,449,311.0,171.0,220.00366724644996
IND110037AAM,IND226004AAC,1.4281045751633987,20,356.0,200.5,232.46969230652968
IND110037AAM,IND282001AAA,1.7893772893772892,32,145.0,77.5,99.65598581198003
IND110037AAM,IND282001AAC,1.9444444444444446,8,151.0,78.0,99.2665230133897
IND110037AAM,IND421302AAG,1.619047619047619,814,1047.0,535.0,572.790541355615
IND110037AAM,IND781018AAB,1.7507739938080495,68,2050.5,697.5,761.5900994389121
IND110037AAM,IND811399AAA,1.894736842105263,21,59.0,35.0,23.51240285417701
IND110039AAA,IND110085AAB,2.9423076923076925,6,51.0,14.0,9.272527736673887
IND110043AAA,IND000000ACB,2.3,19,79.0,31.0,28.62988062438479
IND110043AAA,IND110078AAA,1.4705882352941178,65,27.0,20.0,11.60255323503075
IND110043AAC,IND000000ACB,1.375,5,54.0,35.0,32.46774044826933
IND110044AAB,IND000000ACB,1.4409722222222223,452,54.0,37.5,36.010649914732724
IND110044AAB,IND110030AAD,1.625,60,20.0,14.0,9.89167402895276
IND110044AAB,IND110037AAM,2.0666666666666664,6,36.0,19.5,15.324812421694897
IND110044AAB,IND131028AAB,1.6547619047619047,198,52.5,38.0,27.878147837953794
IND110044AAB,IND201007AAA,2.375,21,52.0,20.0,10.691804886442007
IND110044AAB,IND201301AAF,2.0,24,21.5,14.0,9.71324672796422
IND110052AAA,IND000000ACB,1.6,61,63.0,39.0,36.49609537498191
IND110064AAA,IND000000ACB,1.3333333333333333,209,41.0,31.0,27.97284684942663
IND110064AAA,IND110005AAA,2.6538461538461537,2,31.5,12.0,9.653983082817618
IND110064AAA,IND110046AAA,3.0,1,45.0,15.0,9.460834092477958
IND110077AAA,IND110043AAA,1.3333333333333333,1,20.0,15.0,9.143720141341898
IND110078AAA,IND110043AAA,2.35625,28,42.0,18.5,11.302930240022608
IND110083AAA,IND110085AAB,3.9714285714285715,2,33.0,15.5,10.006952467737666
IND110085AAB,IND000000ACB,1.6923076923076923,43,114.0,40.0,36.74833430271746
IND110085AAB,IND110039AAA,2.0384615384615383,6,26.5,15.0,9.323642847383194
IND110085AAB,IND110083AAA,4.0,3,56.0,15.0,9.38070237750633
IND110085AAB,IND110085AAA,2.076923076923077,1,27.0,13.0,9.045083460088444
IND110085AAB,IND110087AAA,2.0,3,26.0,13.0,9.069043393256694
IND110092AAC,IND000000ACB,1.3333333333333333,41,70.0,40.0,37.98992595121484
IND110092AAC,IND110093AAA,3.25,1,52.0,16.0,9.228295819281168
IND110093AAA,IND110092AAC,3.2222222222222223,1,58.0,18.0,9.009269719701908
IND110095AAB,IND000000ACB,1.3,7,58.0,41.0,37.73789528224864
IND121001AAA,IND121004AAB,2.0,40,20.0,11.0,9.513416291856368
IND121002AAA,IND121004AAB,19.08333333333333,1,229.0,12.0,10.567682028820553
IND121002AAB,IND000000ACB,1.5916666666666668,154,75.5,34.5,29.09848446458905
IND121004AAA,IND121004AAB,2.283333333333333,20,26.5,12.0,13.242300891643918
IND121004AAB,IND000000ACB,1.6666666666666667,180,71.0,36.5,29.157128387778258
IND121004AAB,IND110037AAM,2.6333333333333333,110,47.5,22.0,18.16024619987924
IND121004AAB,IND121001AAA,1.7,29,19.0,10.0,9.39652561332599
IND121004AAB,IND121002AAA,2.909090909090909,1,32.0,11.0,9.901810911132651
IND121004AAB,IND121004AAA,1.75,46,18.0,10.0,12.956213058056782
IND121004AAB,IND121004AAC,1.95,18,20.0,11.0,13.683285120135508
IND121004AAB,IND121102AAA,1.8166666666666667,188,41.0,21.0,27.631619694362016
IND121004AAC,IND121004AAB,2.2222222222222223,12,32.5,11.0,11.391154156480596
IND121102AAA,IND121004AAB,2.0,51,92.0,21.0,27.94474408741032
IND122001AAA,IND000000ACB,1.3333333333333333,76,42.0,23.0,20.047122765497466
IND122001AAA,IND110037AAM,3.8666666666666663,1,58.0,15.0,9.840096269966264
IND122001AAA,IND122001AAD,2.846153846153846,4,37.0,12.5,10.192713803015772
IND122001AAA,IND122050AAA,4.65,2,118.0,23.5,13.818592655145434
IND122001AAA,IND122101AAC,1.6153846153846154,2,19.0,14.5,10.01616817682125
IND122001AAD,IND122050AAA,2.0,13,33.0,19.0,9.52536962829238
IND122001AAJ,IND507123AAA,0.8479020979020979,26,38.5,51.0,29.42633156081623
IND122002AAD,IND122503AAA,2.2,7,37.0,14.0,19.611787773231857
IND122004AAA,IND000000ACB,1.5454545454545454,3,38.0,22.0,19.347420870520924
IND122004AAA,IND122413AAE,1.5555555555555556,163,44.0,24.0,20.93947816350509
IND122503AAA,IND122001AAA,1.9444444444444446,8,82.0,23.0,23.82851254997935
IND123001AAA,IND123401AAB,1.75,26,58.5,29.5,29.252147434777722
IND123401AAB,IND000000ACB,1.9230769230769231,9,104.0,51.0,44.2262557111298
IND123401AAB,IND123106AAB,1.8478260869565217,30,83.0,46.0,44.7662091252138
IND124001AAB,IND126102AAA,2.0,12,71.5,34.0,44.163933301525276
IND124103AAA,IND127021AAA,1.5172413793103448,27,78.0,46.0,44.34797942605685
IND124112AAA,IND125001AAA,2.6666666666666665,6,95.5,37.0,44.66207563722324
IND124112AAA,IND125005AAA,1.8666666666666667,6,95.5,36.5,44.60652353994644
IND124112AAA,IND125033AAA,1.7823529411764705,8,40.0,23.0,28.933542949505544
IND124141AAA,IND000000ACB,1.6954022988505748,38,125.5,69.5,63.32923347490268
IND124507AAA,IND131028AAB,2.025,18,96.5,41.5,24.93576422714358
IND124507AAA,IND131028AAE,2.324675324675325,6,106.0,43.5,23.80745086340177
IND125001AAA,IND000000ACB,1.5714285714285714,70,160.0,90.0,88.4893262514983
IND125001AAA,IND110037AAM,1.7575757575757576,77,188.0,89.0,88.27504644612118
IND125001AAA,IND125047AAB,1.9423076923076925,14,61.0,29.5,26.721670584356104
IND125001AAA,IND125051AAA,2.6333333333333333,3,115.0,52.0,44.10417690810007
IND125001AAA,IND335501AAA,2.1363636363636362,4,124.0,61.0,52.62330635823295
IND125001AAA,IND335513AAA,1.7272727272727273,51,167.0,95.0,89.00141761433606
IND125001AAA,IND335523AAB,1.7638888888888888,20,299.0,90.0,66.11649811976562
IND125001AAA,IND335524AAA,1.601010101010101,30,193.5,105.0,77.36647443744201
IND125005AAA,IND000000ACB,1.5238095238095235,35,154.0,91.0,88.8575409088313
IND125005AAA,IND125047AAB,2.02,6,65.5,29.5,27.251316947268133
IND125005AAA,IND335513AAA,1.6,21,166.0,95.0,88.64543330453465
IND125005AAA,IND335523AAB,2.0,5,230.0,91.0,66.1911829848825
IND125005AAA,IND335524AAA,1.5855978260869565,12,159.0,105.0,77.28753434998248
IND125033AAA,IND125001AAA,2.0,3,34.0,17.0,17.775985407042572
IND125033AAA,IND125005AAA,2.0620915032679736,2,36.0,17.5,18.149828975526987
IND125047AAB,IND125050AAA,2.7222222222222223,2,73.0,26.0,24.16710968506219
IND125047AAB,IND125051AAA,1.7648648648648648,28,116.5,53.0,44.244780341337346
IND125050AAA,IND125051AAA,1.6363636363636365,3,36.0,22.0,22.107164195261355
IND125051AAA,IND125111AAA,1.0489583333333334,4,32.0,31.0,19.812712142103443
IND125104AAA,IND125005AAA,2.111111111111111,7,180.0,73.0,88.2639154873221
IND125111AAA,IND125121AAA,2.1527777777777777,4,99.5,31.5,24.208228054882845
IND125121AAA,IND125001AAA,2.0238095238095237,6,107.0,26.0,25.392020042559874
IND126102AAA,IND131301AAA,2.0915032679738563,4,53.5,26.5,33.443758900380615
IND126112AAA,IND131028AAB,1.8888888888888888,64,69.0,52.5,59.32176645477382
IND127021AAA,IND127201AAA,2.0,24,65.0,36.0,44.23174711101195
IND127201AAA,IND124141AAA,1.8928571428571428,7,77.0,32.0,43.46326807731089
IND131021AAA,IND131028AAA,1.5773809523809523,96,14.0,10.0,11.145138835285376
IND131028AAB,IND000000ACB,0.9230769230769232,757,93.0,63.0,45.8260064542398
IND131028AAB,IND110037AAM,2.2222222222222223,28,97.0,32.0,24.125739761588086
IND131028AAB,IND124001AAB,1.673160173160173,12,76.0,48.5,44.44730661504645
IND131028AAB,IND124507AAA,1.8819444444444444,20,77.5,36.0,25.109169729146465
IND131028AAB,IND132103AAA,2.0161290322580645,6,107.5,36.0,45.986273067252206
IND131028AAB,IND136118AAA,1.8348214285714284,102,117.0,64.0,78.8529327122162
IND131028AAB,IND160002AAC,1.58359133126935,240,127.0,77.5,100.89047163873204
IND131028AAB,IND201204AAA,1.7142857142857142,27,85.0,42.0,43.82700747179016
IND131028AAB,IND244001AAA,1.5789473684210529,152,158.5,109.0,105.40281925223776
IND131028AAB,IND244235AAA,1.3764705882352941,126,145.0,92.5,80.62028038126408
IND131028AAB,IND247667AAA,1.6666666666666665,30,141.5,84.0,77.79102579760763
IND131028AAB,IND247667AAB,1.75,90,143.5,84.0,77.846354829691
IND131028AAB,IND248001AAA,1.6214285714285714,16,200.0,147.0,99.15180024862794
IND131028AAB,IND248001AAD,1.8229665071770333,8,208.5,147.5,99.43863124243867
