source_center,destination_center,route_type,time_of_day,median_delay,trip_count
IND000000ADM,IND683511AAA,Carting,Night,1.5454545454545454,3
IND000000ADV,IND600044AAC,Carting,Morning,1.6201923076923077,4
IND000000ADV,IND600044AAC,Carting,Afternoon,1.5,68
IND000000AEL,IND000000ACB,Carting,Night,2.2467532467532467,6
IND000000AEL,IND000000ACB,Carting,Morning,1.7321428571428572,18
IND000000AEL,IND000000ACB,Carting,Afternoon,1.3958333333333335,36
IND000000AEL,IND000000ACB,Carting,Evening,1.6318681318681318,42
IND000000AEM,IND110037AAB,Carting,Night,1.9285714285714284,20
IND000000AEM,IND110037AAB,Carting,Morning,2.2337662337662336,16
IND000000AEM,IND110037AAB,Carting,Afternoon,1.818181818181818,15
IND000000AEM,IND110064AAB,Carting,Night,1.5555555555555556,65
IND000000AET,IND000000AAS,FTL,Afternoon,2.9761904761904763,24
IND000000AFF,IND734203AAA,FTL,Afternoon,4.842105263157895,3
IND000000AFG,IND673027AAB,FTL,Night,1.8255360623781678,2
IND000000AFG,IND673632AAA,FTL,Night,2.176245210727969,6
IND000000AFJ,IND695121AAA,Carting,Night,1.080128205128205,36
IND000000AFJ,IND695121AAA,Carting,Evening,1.0,4
IND000000AFJ,IND695572AAB,Carting,Evening,2.333333333333333,2
IND000000AFR,IND683511AAA,Carting,Night,1.8,24
IND000000AFT,IND400072AAB,Carting,Afternoon,2.011904761904762,2
IND000000AFT,IND400072AAB,Carting,Evening,2.0,18
IND000000AFT,IND400701AAA,Carting,Night,3.25,2
IND000000AFT,IND400706AAA,Carting,Night,3.511111111111111,2
IND000000AFT,IND410206AAA,Carting,Night,2.1,3
IND000000AFT,IND410206AAA,Carting,Morning,2.4166666666666665,2
IND000000AFT,IND410206AAB,Carting,Morning,2.8,2
IND000000AFT,IND410209AAA,Carting,Night,2.0,48
IND000000AFT,IND410209AAA,Carting,Morning,2.0,26
IND000000AFT,IND410209AAA,Carting,Evening,2.7440476190476195,4
IND000000AFT,IND410210AAA,Carting,Night,2.263157894736842,5
IND000000AFT,IND410210AAA,Carting,Evening,3.343406593406594,10
IND000000AFT,IND421302AAG,Carting,Night,2.645833333333333,10
IND000000AFT,IND421302AAG,Carting,Morning,3.5555555555555554,2
IND000000AFT,IND421302AAG,Carting,Afternoon,1.7563025210084033,4
IND000000AFT,IND421302AAG,Carting,Evening,2.0,12
IND110014AAA,IND110024AAA,Carting,Night,3.3636363636363638,4
IND110014AAA,IND110024AAA,Carting,Morning,3.035714285714286,10
IND110020AAB,IND110037AAM,Carting,Morning,2.4615384615384617,7
IND110024AAA,IND110014AAA,Carting,Night,1.7142857142857142,8
IND110024AAA,IND110014AAA,Carting,Morning,3.2857142857142856,1
IND110024AAA,IND110014AAA,Carting,Evening,2.0,1
IND110030AAD,IND000000ACB,Carting,Night,1.6363636363636365,15
IND110030AAD,IND000000ACB,Carting,Morning,1.75,5
IND110030AAD,IND000000ACB,Carting,Evening,1.5555555555555556,14
IND110035AAC,IND110037AAM,Carting,Morning,1.952380952380952,2
IND110035AAC,IND110037AAM,Carting,Evening,1.7857142857142856,4
IND110037AAK,IND000000ACB,Carting,Night,1.9444444444444444,73
IND110037AAK,IND000000ACB,Carting,Morning,1.5549450549450547,4
IND110037AAK,IND000000ACB,Carting,Afternoon,1.4166666666666667,16
IND110037AAK,IND000000ACB,Carting,Evening,1.7142857142857142,84
IND110037AAM,IND000000ACB,FTL,Night,1.5762962962962963,24
IND110037AAM,IND110020AAB,Carting,Night,5.538461538461538,5
IND110037AAM,IND110020AAB,Carting,Morning,2.8,15
IND110037AAM,IND110024AAA,Carting,Night,2.5,29
IND110037AAM,IND110035AAC,Carting,Night,2.625,25
IND110037AAM,IND110035AAC,Carting,Morning,2.5961538461538463,6
IND110037AAM,IND110035AAC,Carting,Afternoon,1.5549450549450547,40
IND110037AAM,IND110064AAA,Carting,Night,5.39375,2
IND110037AAM,IND110085AAB,Carting,Night,1.9,45
IND110037AAM,IND110092AAC,Carting,Night,2.0,3
IND110037AAM,IND121004AAB,Carting,Night,2.7777777777777777,45
IND110037AAM,IND121004AAB,Carting,Afternoon,1.95,36
IND110037AAM,IND121004AAB,Carting,Evening,1.3333333333333333,56
IND110037AAM,IND125001AAA,FTL,Night,1.75,7
IND110037AAM,IND131028AAB,Carting,Morning,2.3863636363636367,4
IND110037AAM,IND201001AAC,Carting,Night,2.1538461538461537,9
IND110037AAM,IND201001AAC,Carting,Evening,1.10989010989011,20
IND110037AAM,IND201007AAA,Carting,Night,2.116883116883117,18
IND110037AAM,IND201301AAD,Carting,Night,2.833333333333333,9
IND110037AAM,IND201301AAF,Carting,Night,1.9090909090909087,15
IND110037AAM,IND202001AAB,FTL,Night,1.5294117647058822,59
IND110037AAM,IND202001AAB,FTL,Morning,1.5185185185185186,60
IND110037AAM,IND202001AAB,FTL,Afternoon,1.5,33
IND110037AAM,IND209304AAA,FTL,Night,1.6,378
IND110037AAM,IND209304AAA,FTL,Morning,1.5386904761904763,18
IND110037AAM,IND209304AAA,FTL,Afternoon,1.5555555555555556,17
IND110037AAM,IND209304AAA,FTL,Evening,1.8,36
IND110037AAM,IND226004AAC,FTL,Evening,1.4281045751633987,20
IND110037AAM,IND282001AAA,FTL,Night,1.7893772893772892,32
IND110037AAM,IND282001AAC,FTL,Night,1.9444444444444446,8
IND110037AAM,IND421302AAG,FTL,Night,1.6,715
IND110037AAM,IND421302AAG,FTL,Evening,1.6521739130434785,99
IND110037AAM,IND781018AAB,FTL,Night,1.7507739938080495,68
IND110037AAM,IND811399AAA,FTL,Afternoon,2.7916666666666665,14
IND110037AAM,IND811399AAA,FTL,Evening,1.2571428571428571,7
IND110039AAA,IND110085AAB,Carting,Night,5.392857142857143,2
IND110039AAA,IND110085AAB,Carting,Morning,2.9423076923076925,4
IND110043AAA,IND000000ACB,Carting,Night,2.857142857142857,14
IND110043AAA,IND000000ACB,Carting,Evening,1.3333333333333333,5
IND110043AAA,IND110078AAA,Carting,Night,1.4444444444444444,47
IND110043AAA,IND110078AAA,Carting,Morning,1.4852941176470589,18
IND110043AAC,IND000000ACB,Carting,Evening,1.375,5
IND110044AAB,IND000000ACB,Carting,Morning,1.7211538461538463,80
IND110044AAB,IND000000ACB,Carting,Afternoon,1.4641025641025642,228
IND110044AAB,IND000000ACB,Carting,Evening,1.3333333333333333,144
IND110044AAB,IND110030AAD,Carting,Afternoon,1.6666666666666667,32
IND110044AAB,IND110030AAD,Carting,Evening,1.5,28
IND110044AAB,IND110037AAM,Carting,Night,2.0666666666666664,6
IND110044AAB,IND131028AAB,Carting,Morning,2.5757575757575757,10
IND110044AAB,IND131028AAB,Carting,Afternoon,2.116883116883117,94
IND110044AAB,IND131028AAB,Carting,Evening,1.5,94
IND110044AAB,IND201007AAA,Carting,Afternoon,2.4541666666666666,14
IND110044AAB,IND201007AAA,Carting,Evening,2.357142857142857,7
IND110044AAB,IND201301AAF,Carting,Afternoon,1.9166666666666665,14
IND110044AAB,IND201301AAF,Carting,Evening,2.1538461538461537,10
IND110052AAA,IND000000ACB,Carting,Night,1.8388888888888888,6
IND110052AAA,IND000000ACB,Carting,Afternoon,1.657142857142857,18
IND110052AAA,IND000000ACB,Carting,Evening,1.5625,37
IND110064AAA,IND000000ACB,Carting,Night,1.5,82
IND110064AAA,IND000000ACB,Carting,Morning,1.2857142857142858,15
IND110064AAA,IND000000ACB,Carting,Afternoon,1.875,5
IND110064AAA,IND000000ACB,Carting,Evening,1.2307692307692308,107
IND110064AAA,IND110005AAA,Carting,Night,3.0,1
IND110064AAA,IND110005AAA,Carting,Evening,2.3076923076923075,1
IND110064AAA,IND110046AAA,Carting,Morning,3.0,1
IND110077AAA,IND110043AAA,Carting,Night,1.3333333333333333,1
IND110078AAA,IND110043AAA,Carting,Night,2.3009049773755654,12
IND110078AAA,IND110043AAA,Carting,Morning,2.7,16
IND110083AAA,IND110085AAB,Carting,Night,3.9714285714285715,2
IND110085AAB,IND000000ACB,Carting,Night,2.7777777777777777,18
IND110085AAB,IND000000ACB,Carting,Morning,2.4,7
IND110085AAB,IND000000ACB,Carting,Evening,1.303030303030303,18
IND110085AAB,IND110039AAA,Carting,Night,1.1339285714285714,2
IND110085AAB,IND110039AAA,Carting,Morning,2.121794871794872,4
IND110085AAB,IND110083AAA,Carting,Night,4.0,3
IND110085AAB,IND110085AAA,Carting,Afternoon,2.076923076923077,1
IND110085AAB,IND110087AAA,Carting,Night,2.0,3
IND110092AAC,IND000000ACB,Carting,Night,1.3333333333333333,13
IND110092AAC,IND000000ACB,Carting,Morning,1.2,7
IND110092AAC,IND000000ACB,Carting,Evening,1.3333333333333333,21
IND110092AAC,IND110093AAA,Carting,Evening,3.25,1
IND110093AAA,IND110092AAC,Carting,Night,3.2222222222222223,1
IND110095AAB,IND000000ACB,Carting,Evening,1.3,7
IND121001AAA,IND121004AAB,Carting,Night,2.0,20
IND121001AAA,IND121004AAB,Carting,Morning,1.9045454545454543,20
IND121002AAA,IND121004AAB,Carting,Night,19.08333333333333,1
IND121002AAB,IND000000ACB,Carting,Night,1.4316770186335404,18
IND121002AAB,IND000000ACB,Carting,Morning,1.5333333333333334,37
IND121002AAB,IND000000ACB,Carting,Afternoon,1.3076923076923077,5
IND121002AAB,IND000000ACB,Carting,Evening,1.746031746031746,94
IND121004AAA,IND121004AAB,Carting,Night,2.283333333333333,18
IND121004AAA,IND121004AAB,Carting,Morning,2.0892857142857144,2
IND121004AAB,IND000000ACB,Carting,Night,1.818181818181818,35
IND121004AAB,IND000000ACB,Carting,Morning,1.6363636363636365,62
IND121004AAB,IND000000ACB,Carting,Evening,1.7142857142857142,83
IND121004AAB,IND110037AAM,Carting,Night,3.0666666666666664,50
IND121004AAB,IND110037AAM,Carting,Morning,2.6,3
IND121004AAB,IND110037AAM,Carting,Afternoon,2.0,48
IND121004AAB,IND110037AAM,Carting,Evening,1.818181818181818,9
IND121004AAB,IND121001AAA,Carting,Night,1.8944444444444444,18
IND121004AAB,IND121001AAA,Carting,Morning,1.5555555555555556,11
IND121004AAB,IND121002AAA,Carting,Night,2.909090909090909,1
IND121004AAB,IND121004AAA,Carting,Night,1.6666666666666667,10
IND121004AAB,IND121004AAA,Carting,Morning,1.75,22
IND121004AAB,IND121004AAA,Carting,Evening,1.875,14
IND121004AAB,IND121004AAC,Carting,Night,1.8333333333333335,6
IND121004AAB,IND121004AAC,Carting,Morning,1.825,10
IND121004AAB,IND121004AAC,Carting,Evening,6.8625,2
IND121004AAB,IND121102AAA,Carting,Night,1.6666666666666667,95
IND121004AAB,IND121102AAA,Carting,Morning,2.125,88
IND121004AAB,IND121102AAA,Carting,Evening,1.5714285714285714,5
IND121004AAC,IND121004AAB,Carting,Night,2.0793650793650795,6
IND121004AAC,IND121004AAB,Carting,Morning,3.0,6
IND121102AAA,IND121004AAB,Carting,Night,2.0,51
IND122001AAA,IND000000ACB,Carting,Afternoon,1.2678571428571428,50
