hub,betweenness,in_degree,out_degree,avg_delay,betweenness_norm,in_degree_norm,out_degree_norm,avg_delay_norm,bottleneck_score,clustering_coeff
IND160102AAC,0.0,1,1,1.6666666666666667,0.0,0.0222222222222222,0.0212765957446808,0.0476190476190476,0.0182235731171901,0.0
IND520011AAA,0.0,1,1,1.6666666666666667,0.0,0.0222222222222222,0.0212765957446808,0.0476190476190476,0.0182235731171901,0.0
IND532421AAA,0.0,1,1,1.6666666666666667,0.0,0.0222222222222222,0.0212765957446808,0.0476190476190476,0.0182235731171901,1.0
IND445101AAA,0.0,0,1,2.4444444444444446,0.0,0.0,0.0212765957446808,0.0698412698412698,0.0182235731171901,0.0
IND140118AAA,0.0004062560454768,1,1,1.5416666666666667,0.0017713010303392,0.0222222222222222,0.0212765957446808,0.044047619047619,0.0182178078150401,0.0
IND000000AEM,0.0,0,2,1.696969696969697,0.0,0.0,0.0425531914893617,0.0484848484848484,0.018207607994842,0.0
IND307001AAA,0.0012355094569859,1,1,1.2826797385620914,0.0053868962653447,0.0222222222222222,0.0212765957446808,0.0366479925303454,0.0181841206055876,0.0
IND530012AAC,0.0,0,2,1.6923076923076923,0.0,0.0,0.0425531914893617,0.0483516483516483,0.018180967968202,1.0
IND421302AAN,0.0,0,1,2.4285714285714284,0.0,0.0,0.0212765957446808,0.0693877551020408,0.0181328701693443,0.0
IND632402AAA,0.0004103483682792,1,1,1.5217391304347827,0.0017891438062858,0.0222222222222222,0.0212765957446808,0.0434782608695652,0.018111073289808,0.0
IND201204AAA,0.0,1,1,1.6428571428571428,0.0,0.0222222222222222,0.0212765957446808,0.046938775510204,0.0180875186954214,1.0
IND500055AAC,0.0,0,1,2.4166666666666665,0.0,0.0,0.0212765957446808,0.069047619047619,0.0180648429584599,0.0
IND507123AAA,0.001221744371196,1,1,1.265993265993266,0.0053268796553424,0.0222222222222222,0.0212765957446808,0.0361712361712361,0.0180647626897648,0.0
IND504215AAA,0.0,1,1,1.6363636363636365,0.0,0.0222222222222222,0.0212765957446808,0.0467532467532467,0.0180504129440299,1.0
IND125050AAA,0.0,1,1,1.6363636363636365,0.0,0.0222222222222222,0.0212765957446808,0.0467532467532467,0.0180504129440299,1.0
IND281401AAA,0.0,0,2,1.6666666666666667,0.0,0.0,0.0425531914893617,0.0476190476190476,0.0180344478216818,1.0
IND563131AAA,0.0,1,1,1.6306818181818183,0.0,0.0222222222222222,0.0212765957446808,0.046590909090909,0.0180179454115624,1.0
